X ; Y ; Z ; time ; Temperature 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 0.0000000e+00 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.0000000e-03 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 2.0000001e-03 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 3.0000000e-03 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 4.9999999e-03 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 8.9999996e-03 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.7000001e-02 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 3.3000000e-02 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 6.4999998e-02 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.2899999e-01 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 2.5700000e-01 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 5.1300001e-01 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.0250000e+00 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.3500000e+00 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.3500000e+00 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.3510000e+00 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.3520000e+00 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.3530000e+00 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.3550000e+00 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.3590000e+00 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.3670000e+00 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.3830000e+00 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.4150000e+00 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.4790000e+00 ; 2.6200000e+02 
3.500e+01 ; 1.040e+01 ; 6.000e-01 ; 1.6070000e+00 ; 2.6200000e+02 
